"Name","Address","Description","Latitude","Longitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID",""
"PD Dr. Ursula Jung","Bochum","PD Dr. Ursula Jung","51.4667","7.1833","","","","7004904",""
"Daniel  Kallweit","Bochum","Daniel  Kallweit","51.4667","7.1833","","","","7004904",""
"Maria Piovesana","Bochum","Maria Piovesana","51.4667","7.1833","","","","7004904",""
"Dr. Marie Guthmueller","Bochum","Dr. Marie Guthmueller","51.4667","7.1833","","","","7004904",""
"Dr. Marco Thomas Bosshard","Bochum","Dr. Marco Thomas Bosshard","51.4667","7.1833","","","","7004904",""
"Judith Kittler","Bochum","Judith Kittler","51.4667","7.1833","","","","7004904",""
"Dirk Brunke","Bochum","Dirk Brunke","51.4667","7.1833","","","","7004904",""
"Corinna Albert","Bochum","Corinna Albert","51.4667","7.1833","","","","7004904",""
"Cynthia  Carggiolis Abarza","Bochum","Cynthia  Carggiolis Abarza","51.4667","7.1833","","","","7004904",""
"Corinna Koch","Bochum","Corinna Koch","51.4667","7.1833","","","","7004904",""
"Enrico Serena","Bochum","Enrico Serena","51.4667","7.1833","","","","7004904",""
"Imma Martí","Bochum","Imma Martí","51.4667","7.1833","","","","7004904",""
"Victoria del Valle","Bochum","Victoria del Valle","51.4667","7.1833","","","","7004904",""
"Dr. Luca Laurenti Di Biasio","Bolzano","Dr. Luca Laurenti Di Biasio","46.5167","11.3667","","","","7004967",""
"Claudia Sofie Schmitz","Bonn","Claudia Sofie Schmitz","50.7333","7.1","","","","7005090",""
"Prof. Dr. Michael Bernsen","Bonn","Prof. Dr. Michael Bernsen","50.7333","7.1","","","","7005090",""
"Dr. Grazyna Bosy","Bonn","Dr. Grazyna Bosy","50.7333","7.1","","","","7005090",""
"Dr. Doris Grüter","Bonn","Dr. Doris Grüter","50.7333","7.1","","","","7005090",""
"Dr. Marco Menicacci","Bonn","Dr. Marco Menicacci","50.7333","7.1","","","","7005090",""
"Sevrine Ketterer","Bonn","Sevrine Ketterer","50.7333","7.1","","","","7005090",""
"Milan Herold","Bonn","Milan Herold","50.7333","7.1","","","","7005090",""
"Elmar Schmidt","Bonn","Elmar Schmidt","50.7333","7.1","","","","7005090",""
"Dr. Claire Block","Bremen","Dr. Claire Block","53.0833","8.8","","","","7005286",""
"Dr. Peter W.  Schulze","Bremen","Dr. Peter W.  Schulze","53.0833","8.8","","","","7005286",""
"Josefa Díaz","Bremen","Josefa Díaz","53.0833","8.8","","","","7005286",""
"Zuzana Pesselová","Bremen","Zuzana Pesselová","53.0833","8.8","","","","7005286",""
"Dr. Trinidad Marín Villora","Breslau","Dr. Trinidad Marín Villora","51.1","17","","","","7007601",""
"Dr. habil. Günter Berghaus","Bristol","Dr. habil. Günter Berghaus","51.45","-2.5833","","","","7011198",""
"Prof. Dr. Wendy Ayres-Bennett","Cambridge","Prof. Dr. Wendy Ayres-Bennett","52.2",".1167","","","","7010874",""
"Dr. May  Bletz","Canada","Dr. May  Bletz","39.2333","-82.8333","","","","2218081",""
"Dr. Tilmann Altenberg","Cardiff","Dr. Tilmann Altenberg","51.5","-3.2167","","","","7008742",""
"Dr. Kim Schulte","Castellón","Dr. Kim Schulte","40.1667","-.1667","","","","7002815",""
"Martin Bauch","Chemnitz","Martin Bauch","50.8322608","12.9252977","","","","",""
"Prof. Dr. Teresa Pinheiro","Chemnitz","Prof. Dr. Teresa Pinheiro","50.8322608","12.9252977","","","","",""
"Corinne Bayerl","Chicago","Corinne Bayerl","41.85","-87.65","","","","7013596",""
"Prof. Dr. Kay Gonzalez-Vilbazo","Chicago","Prof. Dr. Kay Gonzalez-Vilbazo","41.85","-87.65","","","","7013596",""
"Prof. Dr. M. Carmen Balbuena Torezano","Cordoba","Prof. Dr. M. Carmen Balbuena Torezano","37.8833","-4.7667","","","","7007513",""
"Cristina Cabrera","Deutschland","Cristina Cabrera","51.5","10.5","","","","7000084",""
"Rebecca Aschenberg","Deutschland","Rebecca Aschenberg","51.5","10.5","","","","7000084",""
"Estella Llorente","Deutschland","Estella Llorente","51.5","10.5","","","","7000084",""
"Academics.de www.academics.de","Deutschland","Academics.de www.academics.de","51.5","10.5","","","","7000084",""
"Ana Maria Ferri","Deutschland","Ana Maria Ferri","51.5","10.5","","","","7000084",""
"Redaktion romanistik.de","Deutschland","Redaktion romanistik.de","51.5","10.5","","","","7000084",""
"Nadine Alexander","Deutschland","Nadine Alexander","51.5","10.5","","","","7000084",""
"Rocio Cano","Deutschland","Rocio Cano","51.5","10.5","","","","7000084",""
"Frank-Michael Weiß","Deutschland","Frank-Michael Weiß","51.5","10.5","","","","7000084",""
"María Arribas","Deutschland","María Arribas","51.5","10.5","","","","7000084",""
"Prof. Dr. Raymund Wilhelm","Deutschland","Prof. Dr. Raymund Wilhelm","51.5","10.5","","","","7000084",""
"Dr. Anne Wigger","Deutschland","Dr. Anne Wigger","51.5","10.5","","","","7000084",""
"Robert Beck","Deutschland","Robert Beck","51.5","10.5","","","","7000084",""
"Géraldine Desmarchelier","Deutschland","Géraldine Desmarchelier","51.5","10.5","","","","7000084",""
"Sekretariat  Fremdsprachendidaktiken","Deutschland","Sekretariat  Fremdsprachendidaktiken","51.5","10.5","","","","7000084",""
"Virginie Ransinan","Deutschland","Virginie Ransinan","51.5","10.5","","","","7000084",""
"Silvia Eunice Gutiérrez De la Torre","Deutschland","Silvia Eunice Gutiérrez De la Torre","51.5","10.5","","","","7000084",""
"Susanne Zieglmeier","Deutschland","Susanne Zieglmeier","51.5","10.5","","","","7000084",""
"Caterina Sala","Deutschland","Caterina Sala","51.5","10.5","","","","7000084",""
"Dr. Patricia Bigdely","Deutschland","Dr. Patricia Bigdely","51.5","10.5","","","","7000084",""
"Laura Bally","Deutschland","Laura Bally","51.5","10.5","","","","7000084",""
"Dr. Lidia Cámara","Deutschland","Dr. Lidia Cámara","51.5","10.5","","","","7000084",""
"Madalina Simona  Schwarz","Deutschland","Madalina Simona  Schwarz","51.5","10.5","","","","7000084",""
"Cornelius Griep","Deutschland","Cornelius Griep","51.5","10.5","","","","7000084",""
"Julie  Behrman Ortegon","Deutschland","Julie  Behrman Ortegon","51.5","10.5","","","","7000084",""
"Elena Avrasina","Deutschland","Elena Avrasina","51.5","10.5","","","","7000084",""
"Andrea  Wurdak","Deutschland","Andrea  Wurdak","51.5","10.5","","","","7000084",""
"Haimo  Stiemer","Deutschland","Haimo  Stiemer","51.5","10.5","","","","7000084",""
"Prof. Dr. Roswitha Böhm","Dresden","Prof. Dr. Roswitha Böhm","51.05","13.75","","","","7004455",""
"Dr. Yasmin  Temelli","Düsseldorf","Dr. Yasmin  Temelli","51.2167","6.7833","","","","7004443",""
"Dorothea Kraus","Eichstätt","Dorothea Kraus","48.9","11.2167","","","","7004613",""
"Prof. Dr. Jörg Dünne","Erfurt","Prof. Dr. Jörg Dünne","50.9667","11.05","","","","7024031",""
"Dr. Monica Biasiolo","Erlangen","Dr. Monica Biasiolo","49.6","11.0333","","","","7004332",""
"Prof. Dr. Andrea Pagni","Erlangen","Prof. Dr. Andrea Pagni","49.6","11.0333","","","","7004332",""
"Cecile Croze","Essen","Cecile Croze","51.45","6.95","","","","7004905",""
"Prof. Dr. Dietmar Osthus","Essen","Prof. Dr. Dietmar Osthus","51.45","6.95","","","","7004905",""
"Prof. Dr. Daniel Reimann","Essen","Prof. Dr. Daniel Reimann","51.45","6.95","","","","7004905",""
"Andrea  Gremels","Frankfurt","Andrea  Gremels","50.1","8.6833","","","","7005293",""
"Dr. Kathrina Reschka","Frankfurt","Dr. Kathrina Reschka","50.1","8.6833","","","","7005293",""
"Anna-Christine Weirich","Frankfurt","Anna-Christine Weirich","50.1","8.6833","","","","7005293",""
"Dr. Regina Schleicher","Frankfurt","Dr. Regina Schleicher","50.1","8.6833","","","","7005293",""
"Dr. Jochen Strathmann","Frankfurt","Dr. Jochen Strathmann","50.1","8.6833","","","","7005293",""
"Tobias Berneiser","Frankfurt","Tobias Berneiser","50.1","8.6833","","","","7005293",""
"Maurella Carbone","Frankfurt","Maurella Carbone","50.1","8.6833","","","","7005293",""
"Maria Amelina","Frankfurt","Maria Amelina","50.1","8.6833","","","","7005293",""
"Tatjana  Leichsering","Frankfurt","Tatjana  Leichsering","50.1","8.6833","","","","7005293",""
"Dr. Ingo Feldhausen","Frankfurt","Dr. Ingo Feldhausen","50.1","8.6833","","","","7005293",""
"Beatrice Vervuert","Frankfurt","Beatrice Vervuert","50.1","8.6833","","","","7005293",""
"Katja Priebe","Frankfurt","Katja Priebe","50.1","8.6833","","","","7005293",""
"Dr. Sophie  Bertho","Freiburg","Dr. Sophie  Bertho","48","7.85","","","","1003143",""
"Prof. Dr. Isabelle Mordellet-Roggenbuck","Freiburg","Prof. Dr. Isabelle Mordellet-Roggenbuck","48","7.85","","","","1003143",""
"Luminita Trasca","Freiburg","Luminita Trasca","48","7.85","","","","1003143",""
"Dr. Claus D. Pusch","Freiburg","Dr. Claus D. Pusch","48","7.85","","","","1003143",""
"Mario Willersinn","Freiburg","Mario Willersinn","48","7.85","","","","1003143",""
"Prof. Dr. Rita  De Maeseneer","Gent","Prof. Dr. Rita  De Maeseneer","51.0333","3.7","","","","7007887",""
"Dr. Doris Bachmann-Medick","Gießen","Dr. Doris Bachmann-Medick","50.5833","8.7","","","","7004429",""
"Anna  Wörsdörfer","Gießen","Anna  Wörsdörfer","50.5833","8.7","","","","7004429",""
"Dr. Christian Grünnagel","Gießen","Dr. Christian Grünnagel","50.5833","8.7","","","","7004429",""
"Dr. Henriette  Partzsch","Glasgow","Dr. Henriette  Partzsch","55.8833","-4.25","","","","7017283",""
"Markus Breitbarth","Göttingen","Markus Breitbarth","51.5333","9.95","","","","7005246",""
"Frank Savelsberg","Göttingen","Frank Savelsberg","51.5333","9.95","","","","7005246",""
" Ximena Ordónez ","Göttingen"," Ximena Ordónez ","51.5333","9.95","","","","7005246",""
"Ines Hansen","Göttingen","Ines Hansen","51.5333","9.95","","","","7005246",""
"Dr. Luca Melchior","Graz","Dr. Luca Melchior","47.0833","15.3667","","","","7003097",""
"Andreea Csibi","Graz","Andreea Csibi","47.0833","15.3667","","","","7003097",""
"Isabel Azevedo","Graz","Isabel Azevedo","47.0833","15.3667","","","","7003097",""
"Dr. Rita Rieger","Graz","Dr. Rita Rieger","47.0833","15.3667","","","","7003097",""
"Dr. Fausto De Michele","Graz","Dr. Fausto De Michele","47.0833","15.3667","","","","7003097",""
"Dr. Andrea Berger","Graz","Dr. Andrea Berger","47.0833","15.3667","","","","7003097",""
"Dr. Simona Bartoli Kucher","Graz","Dr. Simona Bartoli Kucher","47.0833","15.3667","","","","7003097",""
"Dr. António  Dinis","Graz","Dr. António  Dinis","47.0833","15.3667","","","","7003097",""
"Stefanie Voigt","Groningen","Stefanie Voigt","53.2167","6.5833","","","","7006984",""
"Dr. Irma Susana Carbajal Vaca","Guadalajara","Dr. Irma Susana Carbajal Vaca","20.6667","-103.3333","","","","7007110",""
"Dr. Aurélie Barjonet","Guyancourt","Dr. Aurélie Barjonet","48.7667","2.0667","","","","1033382",""
"Prof. Dr. Thomas Bremer","Halle","Prof. Dr. Thomas Bremer","51.4833","11.9667","","","","",""
"Prof. Dr. Eva Leitzke-Ungerer","Halle","Prof. Dr. Eva Leitzke-Ungerer","51.4833","11.9667","","","","",""
"Ida Danciu","Hamburg","Ida Danciu","53.5833","10","","","","7003673",""
"Christian Beermann","Hamburg","Christian Beermann","53.5833","10","","","","7003673",""
"Dr. Ebba Durstewitz","Hamburg","Dr. Ebba Durstewitz","53.5833","10","","","","7003673",""
"Prof. Dr. Christoph Gabriel","Hamburg","Prof. Dr. Christoph Gabriel","53.5833","10","","","","7003673",""
"Johannes Kambylis","Hamburg","Johannes Kambylis","53.5833","10","","","","7003673",""
"Prof. Dr. Marcus Bär","Hamburg","Prof. Dr. Marcus Bär","53.5833","10","","","","7003673",""
"Dr. Marc-Olivier Hinzelin","Hamburg","Dr. Marc-Olivier Hinzelin","53.5833","10","","","","7003673",""
"Julia Borst","Hamburg","Julia Borst","53.5833","10","","","","7003673",""
"Iván Allende","Hamburg","Iván Allende","53.5833","10","","","","7003673",""
"Prof. Dr. Lidia  Becker","Hannover","Prof. Dr. Lidia  Becker","52.4","9.7333","","","","7013260",""
"Dr. Arlety Góngora","Havana","Dr. Arlety Góngora","41.1333","-82.7333","","","","2079923",""
"Dr. Giulia Pelillo","Heidelberg","Dr. Giulia Pelillo","49.4167","8.7","","","","7005177",""
"Prof. Dr. Vittoria  Borsò","Heidelberg","Prof. Dr. Vittoria  Borsò","49.4167","8.7","","","","7005177",""
"Cosima Stawenow","Heidelberg","Cosima Stawenow","49.4167","8.7","","","","7005177",""
"Eva Maria Loos","Heidelberg","Eva Maria Loos","49.4167","8.7","","","","7005177",""
"Denis Zh","Heidelberg","Denis Zh","49.4167","8.7","","","","7005177",""
"Inés Recio Fernández","Heidelberg","Inés Recio Fernández","49.4167","8.7","","","","7005177",""
"Dr. Stephen Dörr","Heidelberg","Dr. Stephen Dörr","49.4167","8.7","","","","7005177",""
"Anne Sommer","Heidelberg","Anne Sommer","49.4167","8.7","","","","7005177",""
"Dr. Stéfanie Witzigmann","Heidelberg","Dr. Stéfanie Witzigmann","49.4167","8.7","","","","7005177",""
"Dr. Daniela Pietrini","Heidelberg","Dr. Daniela Pietrini","49.4167","8.7","","","","7005177",""
"Dr. Viktoria Adam","Heidelberg","Dr. Viktoria Adam","49.4167","8.7","","","","7005177",""
"Prof. Dr. Gerhard  Poppenberg","Heidelberg","Prof. Dr. Gerhard  Poppenberg","49.4167","8.7","","","","7005177",""
"PD Dr. Caroline Lüderssen","Heidelberg","PD Dr. Caroline Lüderssen","49.4167","8.7","","","","7005177",""
"Ruth Katharina Kopp","Heidelberg","Ruth Katharina Kopp","49.4167","8.7","","","","7005177",""
"Sandra Rudman","Heidelberg","Sandra Rudman","49.4167","8.7","","","","7005177",""
"Prof. Dr. Kirsten  Mahlke","Heidelberg","Prof. Dr. Kirsten  Mahlke","49.4167","8.7","","","","7005177",""
"Prof. Dr. Margarita Borreguero","Heidelberg","Prof. Dr. Margarita Borreguero","49.4167","8.7","","","","7005177",""
"Wiebke Beushausen","Heidelberg","Wiebke Beushausen","49.4167","8.7","","","","7005177",""
"Dr. Anne Brüske","Heidelberg","Dr. Anne Brüske","49.4167","8.7","","","","7005177",""
"Sylvia Rexing","Heidelberg","Sylvia Rexing","49.4167","8.7","","","","7005177",""
"Helmut Ullrich","Heidelberg","Helmut Ullrich","49.4167","8.7","","","","7005177",""
"Prof. Dr. Oscar Loureda","Heidelberg","Prof. Dr. Oscar Loureda","49.4167","8.7","","","","7005177",""
"Karen Saban","Heidelberg","Karen Saban","49.4167","8.7","","","","7005177",""
"Dr. Laura Biella","Heidelberg","Dr. Laura Biella","49.4167","8.7","","","","7005177",""
"Ana-Sofia Commichau","Heidelberg","Ana-Sofia Commichau","49.4167","8.7","","","","7005177",""
"Prof. Dr. Bettina Kluge","Hildesheim","Prof. Dr. Bettina Kluge","52.15","9.9667","","","","7005248",""
"Spanische ArbeitsmigrantInnen in Niedersachsen","Hildesheim","Spanische ArbeitsmigrantInnen in Niedersachsen","52.15","9.9667","","","","7005248",""
"Prof. Dr. Andrei Corbea-Hoisie","Iasi","Prof. Dr. Andrei Corbea-Hoisie","47.15","27.6333","","","","",""
"Prof. Dr. Ursula Mathis-Moser","Innsbruck","Prof. Dr. Ursula Mathis-Moser","47.2667","11.4","","","","7003249",""
"Prof. Dr. Birgit Mertz-Baumgartner","Innsbruck","Prof. Dr. Birgit Mertz-Baumgartner","47.2667","11.4","","","","7003249",""
"Dr. Angelo Pagliardini","Innsbruck","Dr. Angelo Pagliardini","47.2667","11.4","","","","7003249",""
"Julia Pümpel","Innsbruck","Julia Pümpel","47.2667","11.4","","","","7003249",""
"Dr. Daniel Winkler","Innsbruck","Dr. Daniel Winkler","47.2667","11.4","","","","7003249",""
"PD Dr. Gerhild Fuchs","Innsbruck","PD Dr. Gerhild Fuchs","47.2667","11.4","","","","7003249",""
"Prof. Dr. Heidi Siller-Runggaldier","Innsbruck","Prof. Dr. Heidi Siller-Runggaldier","47.2667","11.4","","","","7003249",""
"Dr. Julia Pröll","Innsbruck","Dr. Julia Pröll","47.2667","11.4","","","","7003249",""
"Martina Albrich","Innsbruck","Martina Albrich","47.2667","11.4","","","","7003249",""
"Prof. Dr. Eva Lavric","Innsbruck","Prof. Dr. Eva Lavric","47.2667","11.4","","","","7003249",""
"Erica Autelli","Innsbruck","Erica Autelli","47.2667","11.4","","","","7003249",""
"Dr. Carmen Konzett","Innsbruck","Dr. Carmen Konzett","47.2667","11.4","","","","7003249",""
"Dr. Christine Konecny","Innsbruck","Dr. Christine Konecny","47.2667","11.4","","","","7003249",""
"Dr. Oriana Ferraguzzi","Italien","Dr. Oriana Ferraguzzi","42.8333","12.8333","","","","1000080",""
"Jan Casalicchio","Italien","Jan Casalicchio","42.8333","12.8333","","","","1000080",""
"Dr. Holger Wochele","Jena","Dr. Holger Wochele","50.9333","11.5833","","","","7005973",""
"Prof. Dr. Rainer Schlösser","Jena","Prof. Dr. Rainer Schlösser","50.9333","11.5833","","","","7005973",""
"Annika  Mayer","Kassel","Annika  Mayer","51.3","9.5","","","","",""
"Dr. Patrick Eser","Kassel","Dr. Patrick Eser","51.3","9.5","","","","",""
"Julia Anslik","Kiel","Julia Anslik","54.3333","10.1333","","","","7004457",""
"Julia Engels","Kiel","Julia Engels","54.3333","10.1333","","","","7004457",""
"Dr. Francesca Bravi","Kiel","Dr. Francesca Bravi","54.3333","10.1333","","","","7004457",""
"Prof. Dr. Elmar Eggert","Kiel","Prof. Dr. Elmar Eggert","54.3333","10.1333","","","","7004457",""
"Prof. Dr. Raymund Wilhelm","Klagenfurt","Prof. Dr. Raymund Wilhelm","46.6333","14.3333","","","","7003084",""
"Prof. Dr. Kirsten Dickhaut","Koblenz","Prof. Dr. Kirsten Dickhaut","50.35","7.6","","","","7004448",""
"Dr. Sascha Diwersy","Köln","Dr. Sascha Diwersy","50.9333","6.95","","","","7004446",""
"Benjamin Loy","Köln","Benjamin Loy","50.9333","6.95","","","","7004446",""
"Dr. Matthias Bürgel","Köln","Dr. Matthias Bürgel","50.9333","6.95","","","","7004446",""
"Ursula Arning","Köln","Ursula Arning","50.9333","6.95","","","","7004446",""
"Marcos Zampieri","Köln","Marcos Zampieri","50.9333","6.95","","","","7004446",""
"Dr. Danielle  Dahan-Feucht","Konstanz","Dr. Danielle  Dahan-Feucht","47.6667","9.1667","","","","7005174",""
"PD Dr. Niklas Bender","Landau","PD Dr. Niklas Bender","49.2","8.1167","","","","7012952",""
"Dr. Heidrun Witte","Las Palmas de Gran Canaria","Dr. Heidrun Witte","28.126426580975636","-15.409057617187049","","","","",""
"Sara Bernechea","Lausanne","Sara Bernechea","46.5333","6.65","","","","7007299",""
"Noémie Chardonnens","Lausanne","Noémie Chardonnens","46.5333","6.65","","","","7007299",""
"Dr. Gabriela Cordone","Lausanne","Dr. Gabriela Cordone","46.5333","6.65","","","","7007299",""
"Dr. Tanja Schwan","Leipzig","Dr. Tanja Schwan","51.3333","12.4167","","","","7012329",""
"Katharina Funke","Leipzig","Katharina Funke","51.3333","12.4167","","","","7012329",""
"Prof. Dr. Elisabeth Burr","Leipzig","Prof. Dr. Elisabeth Burr","51.3333","12.4167","","","","7012329",""
"Julia Burkhardt","Leipzig","Julia Burkhardt","51.3333","12.4167","","","","7012329",""
"Dr. Fernando Ramos Arenas","Leipzig","Dr. Fernando Ramos Arenas","51.3333","12.4167","","","","7012329",""
"Neuere Publikationen:","Leipzig","Neuere Publikationen:","51.3333","12.4167","","","","7012329",""
"Prof. Dr. Alfonso de Toro","Leipzig","Prof. Dr. Alfonso de Toro","51.3333","12.4167","","","","7012329",""
"Dr. Reindert Dhondt","Leuven","Dr. Reindert Dhondt","50.8833","4.7","","","","7007949",""
"Dr. Álvaro Ceballos Viro","Liège","Dr. Álvaro Ceballos Viro","47.2167","1.0833","","","","7017038",""
"Dr. Ofelia Huamanchumo de la Cuba","Lima","Dr. Ofelia Huamanchumo de la Cuba","-12.05","-77.05","","","","",""
"PD Dr. Ana Monica Fonseca","Lisbon","PD Dr. Ana Monica Fonseca","38.7333","-9.1333","","","","7010978",""
"Dr. Simone Ventura","London","Dr. Simone Ventura","51.5","-.1667","","","","7011781",""
"Prof. Dr. Gudrun Ziegler","Luxemburg","Prof. Dr. Gudrun Ziegler","49.75","6.1667","","","","7003514",""
"Katrin Ziegler","Macerata","Katrin Ziegler","43.3","13.45","","","","7004018",""
"Dr. Laura De Simone","Madrid","Dr. Laura De Simone","40.4","-3.6833","","","","7010420",""
"Dr. José Carlos  Huisa Téllez","Mainz","Dr. José Carlos  Huisa Téllez","50","8.2667","","","","7004449",""
"Frédéric Nicolosi","Mainz","Frédéric Nicolosi","50","8.2667","","","","7004449",""
"Dr. Robert Lukenda","Mainz","Dr. Robert Lukenda","50","8.2667","","","","7004449",""
"Prof. Dr. Barbara Wehr","Mainz","Prof. Dr. Barbara Wehr","50","8.2667","","","","7004449",""
"Dr. Marcel Vejmelka","Mainz","Dr. Marcel Vejmelka","50","8.2667","","","","7004449",""
"Dr. Timo  Obergöker","Mainz","Dr. Timo  Obergöker","50","8.2667","","","","7004449",""
"Alessandra  Matrone","Mainz","Alessandra  Matrone","50","8.2667","","","","7004449",""
"Prof. Dr. Sylvia  Thiele","Mainz","Prof. Dr. Sylvia  Thiele","50","8.2667","","","","7004449",""
"Dr. Caroline Mannweiler","Mainz","Dr. Caroline Mannweiler","50","8.2667","","","","7004449",""
"Prof. Dr. Martina  Schrader-Kniffki","Mainz","Prof. Dr. Martina  Schrader-Kniffki","50","8.2667","","","","7004449",""
"Prof. Dr. Johannes Angermüller","Mainz","Prof. Dr. Johannes Angermüller","50","8.2667","","","","7004449",""
"Lisa Zeller","Mainz","Lisa Zeller","50","8.2667","","","","7004449",""
"Dr. Irene M. Weiss","Mainz","Dr. Irene M. Weiss","50","8.2667","","","","7004449",""
"Marina-Rafaela Buch","Mainz","Marina-Rafaela Buch","50","8.2667","","","","7004449",""
"Prof. Dr. Véronique Porra","Mainz","Prof. Dr. Véronique Porra","50","8.2667","","","","7004449",""
"Vanessa Schlüter","Mainz","Vanessa Schlüter","50","8.2667","","","","7004449",""
"Tobias Röhl","Mainz","Tobias Röhl","50","8.2667","","","","7004449",""
"Lisa Zeller","Mainz","Lisa Zeller","50","8.2667","","","","7004449",""
