Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Dr. Teresa Staudacher,Langeoog,3666-Teresa_Staudacher,7.4860135,53.7460094,,2014-01-09,2015-01-01,
Dr. Theresa Vögle,Spiekeroog,2434-Theresa_VOegle,7.7167,53.7833,,2012-06-12,2015-01-01,1009246
Dr. Thi Thu Ha Ngo,Spiekeroog,3739-Thi_Thu_Ha_Ngo,7.7167,53.7833,,2014-03-03,2015-01-01,1009246
Dr. Thomas Stöber,München,9-Thomas_StOeber,11.5833,48.1333,,2009-10-29,2015-01-01,7004333
Dr. Thomas Weidhaas,Spiekeroog,4068-Thomas_Weidhaas,7.7167,53.7833,,2014-08-22,2015-01-01,1009246
Dr. Tilman Schröder,Augsburg,2872-Tilman_SchrOeder,10.9,48.35,,2012-11-22,2015-01-01,7004324
Dr. Tilmann Altenberg,Cardiff,1373-Tilmann_Altenberg,-3.2167,51.5,,2011-06-13,2015-01-01,7008742
Dr. Timo  Obergöker,Mainz,2258-Timo_ObergOeker,8.2667,50,,2012-04-21,2015-01-01,7004449
Dr. Tobias Eisermann,Köln,2943-Tobias_Eisermann,6.95,50.9333,,2012-12-26,2015-01-01,7004446
Dr. Trinidad Marín Villora,Breslau,3684-Trinidad_Mar_n_Villora,17,51.1,,2014-01-24,2015-01-01,7007601
Dr. Ulrich Farrenkopf,Freiburg,1272-Ulrich_Farrenkopf,7.85,48,,2011-05-15,2015-01-01,1003143
Dr. Ulrike  Hollender,Berlin,2579-Ulrike_Hollender,13.4167,52.5333,,2012-06-29,2015-01-01,7003712
Dr. Urs Urban,Spiekeroog,4030-Urs_Urban,7.7167,53.7833,,2014-07-26,2015-01-01,1009246
Dr. Ursula Trappe,Münster,1566-Ursula_Trappe,7.6167,51.9667,,2011-08-16,2015-01-01,1002616
Dr. Ute Barbara Schilly,Langeoog,53-Ute_Barbara_Schilly,7.4860135,53.7460094,,2009-12-08,2015-01-01,
Dr. Valentina Russo,Spiekeroog,3728-Valentina_Russo,7.7167,53.7833,,2014-03-01,2015-01-01,1009246
Dr. Valeriu P. Stancu,Berlin,3903-Valeriu_P_Stancu,13.4167,52.5333,,2014-05-19,2015-01-01,7003712
Dr. Vera Elisabeth Gerling,Düsseldorf,2756-Vera_Elisabeth_Gerling,6.7833,51.2167,,2012-09-21,2015-01-01,7004443
Dr. Vera Schanz,Spiekeroog,3155-Vera_Schanz,7.7167,53.7833,,2013-05-05,2015-01-01,1009246
Dr. Vera Tufano,Italy,966-Vera_Tufano,12.8333,42.8333,,2011-01-29,2015-01-01,1000080
Dr. Verena Schmöller,München,54-Verena_SchmOeller,11.5833,48.1333,,2009-12-08,2015-01-01,7004333
Dr. Verena Schwägerl-Melchior,Graz,3183-Verena_SchwAegerl_Melchior,15.3667,47.0833,,2013-05-21,2015-01-01,7003097
Dr. Verena Thaler,Mannheim,3033-Verena_Thaler,8.4667,49.5,,2013-02-23,2015-01-01,7005179
Dr. Viktoria Adam,Heidelberg,3691-Viktoria_Adam,8.7,49.4167,,2014-01-29,2015-01-01,7005177
Dr. Virginie Geisler,Saarbrücken,4005-Virginie_Geisler,6.9667,49.25,,2014-07-10,2015-01-01,7004454
Dr. Viviane  Azarian,Spiekeroog,3975-Viviane_Azarian,7.7167,53.7833,,2014-06-23,2015-01-01,1009246
Dr. Volker Jaeckel ,Belo Horizonte,179-Volker_Jaeckel,-43.9,-19.9,,2010-04-14,2015-01-01,1020827
Dr. Werner Imbach,Köln,1369-Werner_Imbach,6.95,50.9333,,2011-06-11,2015-01-01,7004446
Dr. Werner Müller-Pelzer,Dortmund,1668-Werner_MUeller_Pelzer,7.45,51.5167,,2011-09-20,2015-01-01,7004982
Dr. Willi Jung,Bonn,3515-Willi_Jung,7.1,50.7333,,2013-10-28,2015-01-01,7005090
Dr. Xenia von Tippelskirch,Bochum,1907-Xenia_von_Tippelskirch,7.1833,51.4667,,2011-12-09,2015-01-01,7004904
Dr. Yasmin  Temelli,Düsseldorf,3009-Yasmin_Temelli,6.7833,51.2167,,2013-02-07,2015-01-01,7004443
Dr. Yolanda Melgar Pernías,Berlin,1862-Yolanda_Melgar_Pern_as,13.4167,52.5333,,2011-11-23,2015-01-01,7003712
Edith Roth,Langeoog,762-Edith_Roth,7.4860135,53.7460094,,2010-12-12,2015-01-01,
Elena Avrasina,Langeoog,1089-Elena_Avrasina,7.4860135,53.7460094,,2011-03-09,2015-01-01,
Elena Holm,Spiekeroog,546-Elena_Holm,7.7167,53.7833,,2010-10-31,2015-01-01,1009246
Elisa Sorrenti,Spiekeroog,4058-Elisa_Sorrenti,7.7167,53.7833,,2014-08-14,2015-01-01,1009246
Elisabeth Heyne,Spiekeroog,3985-Elisabeth_Heyne,7.7167,53.7833,,2014-06-26,2015-01-01,1009246
Elke Lackner,Graz,2684-Elke_Lackner,15.3667,47.0833,,2012-08-10,2015-01-01,7003097
Elmar Schmidt,Bonn,4062-Elmar_Schmidt,7.1,50.7333,,2014-08-17,2015-01-01,7005090
Elodie Ripoll,Berlin,3970-Elodie_Ripoll,13.4167,52.5333,,2014-06-20,2015-01-01,7003712
Emika Bartodziej,Spiekeroog,528-Emika_Bartodziej,7.7167,53.7833,,2010-10-28,2015-01-01,1009246
Emmanuel Faure,Langeoog,3747-Emmanuel_Faure,7.4860135,53.7460094,,2014-03-03,2015-01-01,
Enrico Serena,Bochum,702-Enrico_Serena,7.1833,51.4667,,2010-11-26,2015-01-01,7004904
Eric Engel,Spiekeroog,4074-Eric_Engel,7.7167,53.7833,,2014-08-28,2015-01-01,1009246
Erica Autelli,Innsbruck,1367-Erica_Autelli,11.4,47.2667,,2011-06-11,2015-01-01,7003249
Estella Llorente,Langeoog,972-Estella_Llorente,7.4860135,53.7460094,,2011-01-31,2015-01-01,
Eva Ares,Frankfurt am Main,191-Eva_Ares,8.662009637,50.1213881,,2010-05-06,2015-01-01,
Eva Maria Loos,Heidelberg,102-Eva_Maria_Loos,8.7,49.4167,,2010-01-22,2015-01-01,7005177
Eva Rothenberger,Augsburg,2841-Eva_Rothenberger,10.9,48.35,,2012-11-05,2015-01-01,7004324
Eva Wilhelm,Spiekeroog,1140-Eva_Wilhelm,7.7167,53.7833,,2011-03-30,2015-01-01,1009246
Eva-Maria Hochhauser,Spiekeroog,3859-Eva_Maria_Hochhauser,7.7167,53.7833,,2014-04-28,2015-01-01,1009246
Evelyn Wiesinger,Regensburg,97-Evelyn_Wiesinger,12.1,49.0167,,2010-01-21,2015-01-01,7013496
Evgeniya Markova,Spiekeroog,916-Evgeniya_Markova,7.7167,53.7833,,2011-01-18,2015-01-01,1009246
Fabian Lehmann,Spiekeroog,4000-Fabian_Lehmann,7.7167,53.7833,,2014-07-07,2015-01-01,1009246
Fabien Kunz-Vitali,Hamburg,3894-Fabien_Kunz_Vitali,10,53.5833,,2014-05-15,2015-01-01,7003673
Fabienne Detoc,Paderborn,4003-Fabienne_Detoc,8.7333,51.7167,,2014-07-09,2015-01-01,7005101
Fabienne Douls Eicher,Zürich,152-Fabienne_Douls_Eicher,8.55,47.3833,,2010-03-06,2015-01-01,7003765
