Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Dr. Doris Pichler,Spiekeroog,"<a href=""http://www.romanistik.de/pers/1475"">Dr. Doris Pichler</a>",7.7167,53.7833,,2011-07-15,2015-01-01,1009246
Dr. Ebba Durstewitz,Hamburg,"<a href=""http://www.romanistik.de/pers/1648"">Dr. Ebba Durstewitz</a>",10,53.5833,,2011-09-13,2015-01-01,7003673
Dr. Edith  Szlezák,Regensburg,"<a href=""http://www.romanistik.de/pers/115"">Dr. Edith  Szlezák</a>",12.1,49.0167,,2010-01-31,2015-01-01,7013496
Dr. Eizeth Isabel Sandoval Torres,Langeoog,"<a href=""http://www.romanistik.de/pers/3783"">Dr. Eizeth Isabel Sandoval Torres</a>",7.4860135,53.7460094,,2014-03-17,2015-01-01,
Dr. Elena Castroviejo,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3816"">Dr. Elena Castroviejo</a>",7.7167,53.7833,,2014-04-03,2015-01-01,1009246
Dr. Elena Sánchez López,Sant Vicent del Raspeig,"<a href=""http://www.romanistik.de/pers/3692"">Dr. Elena Sánchez López</a>",-0.531432645,38.4305585,,2014-01-29,2015-01-01,
Dr. Elgin Kirsten Eckert,Perugia,"<a href=""http://www.romanistik.de/pers/1724"">Dr. Elgin Kirsten Eckert</a>",12.3667,43.1333,,2011-10-10,2015-01-01,7000526
Dr. Elina Absalyamova,Paris,"<a href=""http://www.romanistik.de/pers/1502"">Dr. Elina Absalyamova</a>",2.3333,48.8667,,2011-07-23,2015-01-01,7008038
Dr. Elisa De Roberto,Rome,"<a href=""http://www.romanistik.de/pers/3707"">Dr. Elisa De Roberto</a>",12.5,41.8833,,2014-02-14,2015-01-01,7000874
Dr. Elisabeth Profos-Sulzer,Zürich,"<a href=""http://www.romanistik.de/pers/60"">Dr. Elisabeth Profos-Sulzer</a>",8.55,47.3833,,2009-12-15,2015-01-01,7003765
Dr. Elissa Pustka,München,"<a href=""http://www.romanistik.de/pers/1392"">Dr. Elissa Pustka</a>",11.5833,48.1333,,2011-06-17,2015-01-01,7004333
Dr. Elke Richter,Bremen,"<a href=""http://www.romanistik.de/pers/36"">Dr. Elke Richter</a>",8.8,53.0833,,2009-12-03,2015-01-01,7005286
Dr. Esther  Douterelo,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3805"">Dr. Esther  Douterelo</a>",7.7167,53.7833,,2014-03-26,2015-01-01,1009246
Dr. Esther Gimeno Ugalde,Wien,"<a href=""http://www.romanistik.de/pers/351"">Dr. Esther Gimeno Ugalde</a>",16.3667,48.2167,,2010-09-08,2015-01-01,7003321
Dr. Eugenia Ortiz Gambetta,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3703"">Dr. Eugenia Ortiz Gambetta</a>",7.7167,53.7833,,2014-02-10,2015-01-01,1009246
Dr. Eva Maria Kluth,Langeoog,"<a href=""http://www.romanistik.de/pers/1056"">Dr. Eva Maria Kluth</a>",7.4860135,53.7460094,,2011-02-26,2015-01-01,
Dr. Evelyn Dueck,Neuchâtel,"<a href=""http://www.romanistik.de/pers/3698"">Dr. Evelyn Dueck</a>",6.9167,46.9833,,2014-02-06,2015-01-01,7007292
Dr. Fausto De Michele,Graz,"<a href=""http://www.romanistik.de/pers/1034"">Dr. Fausto De Michele</a>",15.3667,47.0833,,2011-02-18,2015-01-01,7003097
Dr. Fernando Nina,Utrecht,"<a href=""http://www.romanistik.de/pers/2055"">Dr. Fernando Nina</a>",5.1333,52.0833,,2012-01-29,2015-01-01,7003627
Dr. Fernando Ramos Arenas,Leipzig,"<a href=""http://www.romanistik.de/pers/1687"">Dr. Fernando Ramos Arenas</a>",12.4167,51.3333,,2011-09-27,2015-01-01,7012329
Dr. Florence Oloff,Basel,"<a href=""http://www.romanistik.de/pers/2030"">Dr. Florence Oloff</a>",7.6,47.55,,2012-01-17,2015-01-01,7007269
Dr. Florian Gräfe,Spiekeroog,"<a href=""http://www.romanistik.de/pers/1492"">Dr. Florian Gräfe</a>",7.7167,53.7833,,2011-07-20,2015-01-01,1009246
Dr. Florian Schmid,Spiekeroog,"<a href=""http://www.romanistik.de/pers/4021"">Dr. Florian Schmid</a>",7.7167,53.7833,,2014-07-18,2015-01-01,1009246
Dr. Francesca Bravi,Kiel,"<a href=""http://www.romanistik.de/pers/2052"">Dr. Francesca Bravi</a>",10.1333,54.3333,,2012-01-27,2015-01-01,7004457
Dr. Francesca Mattei,Spiekeroog,"<a href=""http://www.romanistik.de/pers/747"">Dr. Francesca Mattei</a>",7.7167,53.7833,,2010-12-08,2015-01-01,1009246
Dr. Francesca Santevecchi,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3731"">Dr. Francesca Santevecchi</a>",7.7167,53.7833,,2014-03-01,2015-01-01,1009246
Dr. Frank Jablonka,Amiens,"<a href=""http://www.romanistik.de/pers/3017"">Dr. Frank Jablonka</a>",2.3,49.9,,2013-02-11,2015-01-01,7010588
Dr. Friederike von Criegern,Göttingen,"<a href=""http://www.romanistik.de/pers/1055"">Dr. Friederike von Criegern</a>",9.95,51.5333,,2011-02-26,2015-01-01,7005246
Dr. Friedhelm Schmidt-Welle,Berlin,"<a href=""http://www.romanistik.de/pers/975"">Dr. Friedhelm Schmidt-Welle</a>",13.4167,52.5333,,2011-02-01,2015-01-01,7003712
Dr. Gabriela Cordone,Lausanne,"<a href=""http://www.romanistik.de/pers/3655"">Dr. Gabriela Cordone</a>",6.65,46.5333,,2013-12-29,2015-01-01,7007299
Dr. Gabriele Vickermann-Ribémont,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3799"">Dr. Gabriele Vickermann-Ribémont</a>",7.7167,53.7833,,2014-03-24,2015-01-01,1009246
Dr. Geneviève Roche,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3755"">Dr. Geneviève Roche</a>",7.7167,53.7833,,2014-03-04,2015-01-01,1009246
Dr. Georg Wink,Berlin,"<a href=""http://www.romanistik.de/pers/2445"">Dr. Georg Wink</a>",13.4167,52.5333,,2012-06-15,2015-01-01,7003712
Dr. Gerhard Schönberger,Spiekeroog,"<a href=""http://www.romanistik.de/pers/89"">Dr. Gerhard Schönberger</a>",7.7167,53.7833,,2010-01-13,2015-01-01,1009246
Dr. Gilca Seidinger,Langeoog,"<a href=""http://www.romanistik.de/pers/2963"">Dr. Gilca Seidinger</a>",7.4860135,53.7460094,,2013-01-05,2015-01-01,
Dr. Gioia Valdemarca,Trieste,"<a href=""http://www.romanistik.de/pers/21"">Dr. Gioia Valdemarca</a>",13.7667,45.6667,,2009-12-02,2015-01-01,1003505
Dr. Giorgia Sogos,Bonn,"<a href=""http://www.romanistik.de/pers/3272"">Dr. Giorgia Sogos</a>",7.1,50.7333,,2013-06-30,2015-01-01,7005090
Dr. Giovanni Ferroni,Padova,"<a href=""http://www.romanistik.de/pers/3119"">Dr. Giovanni Ferroni</a>",11.8833,45.4167,,2013-04-11,2015-01-01,7003085
Dr. Giulia Pelillo,Heidelberg,"<a href=""http://www.romanistik.de/pers/1347"">Dr. Giulia Pelillo</a>",8.7,49.4167,,2011-06-06,2015-01-01,7005177
Dr. Grazyna Bosy,Bonn,"<a href=""http://www.romanistik.de/pers/1101"">Dr. Grazyna Bosy</a>",7.1,50.7333,,2011-03-14,2015-01-01,7005090
