Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Dr. Annette Clamor,Osnabrück,Dr. Annette Clamor,8.05,52.2833,,2013-02-06,2015-01-01,7005252
Prof. Dr. Johannes Kabatek,Zürich,Prof. Dr. Johannes Kabatek,8.55,47.3833,,2013-02-07,2015-01-01,7003765
Dr. Yasmin  Temelli,Düsseldorf,Dr. Yasmin  Temelli,6.7833,51.2167,,2013-02-07,2015-01-01,7004443
Niklas Gutjahr,Düsseldorf,Niklas Gutjahr,6.7833,51.2167,,2013-02-07,2015-01-01,7004443
Dr. Corinna Manuela Kirstein,Langeoog,Dr. Corinna Manuela Kirstein,7.4860135,53.7460094,,2013-02-09,2015-01-01,
Dr. Jutta Fortin,Wien,Dr. Jutta Fortin,16.3667,48.2167,,2013-02-11,2015-01-01,7003321
Dr. Frank Jablonka,Amiens,Dr. Frank Jablonka,2.3,49.9,,2013-02-11,2015-01-01,7010588
Dr. Charlotte Krauss,Strasbourg,Dr. Charlotte Krauss,7.75,48.5833,,2013-02-12,2015-01-01,7012346
Isabell Lammel,Mainz,Isabell Lammel,8.2667,50,,2013-02-12,2015-01-01,7004449
Prof. Dr. Rita Catrina Imboden,Zürich,Prof. Dr. Rita Catrina Imboden,8.55,47.3833,,2013-02-14,2015-01-01,7003765
Joaquim Peito,Göttingen,Joaquim Peito,9.95,51.5333,,2013-02-14,2015-01-01,7005246
PD Dr. Giovanna D'Aniello,Bari,PD Dr. Giovanna D'Aniello,16.8667,41.1167,,2013-02-18,2015-01-01,7004101
Markus Breitbarth,Göttingen,Markus Breitbarth,9.95,51.5333,,2013-02-18,2015-01-01,7005246
Heinz Knape,Spiekeroog,Heinz Knape,7.7167,53.7833,,2013-02-18,2015-01-01,1009246
Dr. Verena Thaler,Mannheim,Dr. Verena Thaler,8.4667,49.5,,2013-02-23,2015-01-01,7005179
Prof. Dr. Claudia Gronemann,Mannheim,Prof. Dr. Claudia Gronemann,8.4667,49.5,,2013-02-24,2015-01-01,7005179
Ines Hansen,Göttingen,Ines Hansen,9.95,51.5333,,2013-02-26,2015-01-01,7005246
Dr. Daron Burrows,Manchester,Dr. Daron Burrows,,,,2013-02-26,2015-01-01,7026570
Prof. Dr. Henry Thorau,Trier,Prof. Dr. Henry Thorau,6.5833,50,,2013-03-01,2015-01-01,7004451
Rahel Perschke,Marburg,Rahel Perschke,8.7667,50.8167,,2013-03-09,2015-01-01,7012330
Johanna Eierstock,Spiekeroog,Johanna Eierstock,7.7167,53.7833,,2013-03-11,2015-01-01,1009246
Christian Schweizer,Saarbrücken,Christian Schweizer,6.9667,49.25,,2013-03-14,2015-01-01,7004454
Johannes Kambylis,Hamburg,Johannes Kambylis,10,53.5833,,2013-03-15,2015-01-01,7003673
PD Dr. Natascha Ueckmann,Bremen,PD Dr. Natascha Ueckmann,8.8,53.0833,,2013-03-16,2015-01-01,7005286
PD Dr. Edi Zollinger,Spiekeroog,PD Dr. Edi Zollinger,7.7167,53.7833,,2013-03-21,2015-01-01,1009246
Christoph Hornung,Würzburg,Christoph Hornung,9.9333,49.8,,2013-03-25,2015-01-01,7004335
Prof. Dr. Margarita Borreguero,Heidelberg,Prof. Dr. Margarita Borreguero,8.7,49.4167,,2013-04-01,2015-01-01,7005177
Anne-Catherine Luther,Aachen,Anne-Catherine Luther,6.1,50.7667,,2013-04-07,2015-01-01,7004799
Iván Allende,Hamburg,Iván Allende,10,53.5833,,2013-04-10,2015-01-01,7003673
Dr. Giovanni Ferroni,Padova,Dr. Giovanni Ferroni,11.8833,45.4167,,2013-04-11,2015-01-01,7003085
Prof. Dr. Silke Segler-Meßner,Hamburg,Prof. Dr. Silke Segler-Meßner,10,53.5833,,2013-04-15,2015-01-01,7003673
Antje Ziethen,Montréal,Antje Ziethen,-73.6,45.5,,2013-04-18,2015-01-01,7013051
Dr. Maribel Cedeño Rojas,Siegen,Dr. Maribel Cedeño Rojas,8.0333,50.8667,,2013-04-19,2015-01-01,7012712
Dr. Vera Schanz,Spiekeroog,Dr. Vera Schanz,7.7167,53.7833,,2013-05-05,2015-01-01,1009246
Antonio  Barquero,Potsdam,Antonio  Barquero,13.0667,52.4,,2013-05-06,2015-01-01,7003728
 Aristhide Nyamsi,Langeoog, Aristhide Nyamsi,7.4860135,53.7460094,,2013-05-10,2015-01-01,
Madalina Simona  Schwarz,Langeoog,Madalina Simona  Schwarz,7.4860135,53.7460094,,2013-05-10,2015-01-01,
Luis Eduardo Pérez Peralta,Zürich,Luis Eduardo Pérez Peralta,8.55,47.3833,,2013-05-13,2015-01-01,7003765
Dr. Joaquin Ruano,Spiekeroog,Dr. Joaquin Ruano,7.7167,53.7833,,2013-05-15,2015-01-01,1009246
Vania Cescon,Spiekeroog,Vania Cescon,7.7167,53.7833,,2013-05-15,2015-01-01,1009246
Dr. Verena Schwägerl-Melchior,Graz,Dr. Verena Schwägerl-Melchior,15.3667,47.0833,,2013-05-21,2015-01-01,7003097
Prof. Dr. Rafael Arnold,Rostock,Prof. Dr. Rafael Arnold,12.15,54.1,,2013-05-21,2015-01-01,7003729
PD Dr. Novella Di Nunzio,Langeoog,PD Dr. Novella Di Nunzio,7.4860135,53.7460094,,2013-05-22,2015-01-01,
Christoph Maria Sanders,Tübingen,Christoph Maria Sanders,9.75,48.5,,2013-05-27,2015-01-01,1003267
Dr. Oliver Ehmer,Freiburg,Dr. Oliver Ehmer,7.85,48,,2013-06-03,2015-01-01,1003143
Dr. Monica Biasiolo,Erlangen,Dr. Monica Biasiolo,11.0333,49.6,,2013-06-06,2015-01-01,7004332
Irene Vera,Spiekeroog,Irene Vera,7.7167,53.7833,,2013-06-07,2015-01-01,1009246
Prof. Dr. Paul Geyer,Bonn,Prof. Dr. Paul Geyer,7.1,50.7333,,2013-06-10,2015-01-01,7005090
Jan Casalicchio,Italy,Jan Casalicchio,12.8333,42.8333,,2013-06-11,2015-01-01,1000080
 Ximena Ordónez ,Göttingen, Ximena Ordónez ,9.95,51.5333,,2013-06-12,2015-01-01,7005246
Benny Schulz,Spiekeroog,Benny Schulz,7.7167,53.7833,,2013-06-12,2015-01-01,1009246
Dr. Mercedes  Fornés,Spiekeroog,Dr. Mercedes  Fornés,7.7167,53.7833,,2013-06-12,2015-01-01,1009246
Benjamin Loy,Köln,Benjamin Loy,6.95,50.9333,,2013-06-17,2015-01-01,7004446
Ana-Sofia Commichau,Heidelberg,Ana-Sofia Commichau,8.7,49.4167,,2013-06-21,2015-01-01,7005177
Dr. Marco Thomas Bosshard,Bochum,Dr. Marco Thomas Bosshard,7.1833,51.4667,,2013-06-21,2015-01-01,7004904
Stéphane Névot,Spiekeroog,Stéphane Névot,7.7167,53.7833,,2013-06-21,2015-01-01,1009246
Dr. Inka Wissner,Zürich,Dr. Inka Wissner,8.55,47.3833,,2013-06-24,2015-01-01,7003765
Katharina Einert,Potsdam,Katharina Einert,13.0667,52.4,,2013-06-25,2015-01-01,7003728
Prof. Dr. Ulrich Hoinkes,Kiel,Prof. Dr. Ulrich Hoinkes,10.1333,54.3333,,2013-06-25,2015-01-01,7004457
PD Dr. Philipp Burdy,Bamberg,PD Dr. Philipp Burdy,10.9,49.9,,2013-06-28,2015-01-01,7004325
Dr. Philipp Krämer,Potsdam,Dr. Philipp Krämer,13.0667,52.4,,2013-06-28,2015-01-01,7003728
 José Juan Pacheco Ramos ,Palma de Mallorca, José Juan Pacheco Ramos ,2.6500714,39.5695824,,2013-06-29,2015-01-01,
Dr. Giorgia Sogos,Bonn,Dr. Giorgia Sogos,7.1,50.7333,,2013-06-30,2015-01-01,7005090
Prof. Dr. Martin Stegu,Wien,Prof. Dr. Martin Stegu,16.3667,48.2167,,2013-07-03,2015-01-01,7003321
Dr. Stephanie Fleischmann,Langeoog,Dr. Stephanie Fleischmann,7.4860135,53.7460094,,2013-07-09,2015-01-01,
Fabienne Loureiro,Köln,Fabienne Loureiro,6.95,50.9333,,2013-07-14,2015-01-01,7004446
Camila de Lira Santos,Spiekeroog,Camila de Lira Santos,7.7167,53.7833,,2013-07-15,2015-01-01,1009246
Carolina  Spiegel,München,Carolina  Spiegel,11.5833,48.1333,,2013-07-26,2015-01-01,7004333
Valerie Kiendl,München,Valerie Kiendl,11.5833,48.1333,,2013-07-26,2015-01-01,7004333
Stefan Sassenberg,München,Stefan Sassenberg,11.5833,48.1333,,2013-08-12,2015-01-01,7004333
Dr. Laura Sergo,Saarbrücken,Dr. Laura Sergo,6.9667,49.25,,2013-08-12,2015-01-01,7004454
Dr. Heike Muranyi,Spiekeroog,Dr. Heike Muranyi,7.7167,53.7833,,2013-08-13,2015-01-01,1009246
Leonie Meyer-Krentler,Potsdam,Leonie Meyer-Krentler,13.0667,52.4,,2013-08-16,2015-01-01,7003728
Prof. Dr. Christoph Bürgel,Osnabrück,Prof. Dr. Christoph Bürgel,8.05,52.2833,,2013-08-17,2015-01-01,7005252
Isabel Sorg,Spiekeroog,Isabel Sorg,7.7167,53.7833,,2013-08-30,2015-01-01,1009246
Yara Katayama,Langeoog,Yara Katayama,7.4860135,53.7460094,,2013-09-02,2015-01-01,
PD Dr. Anja Overbeck,Göttingen,PD Dr. Anja Overbeck,9.95,51.5333,,2013-09-04,2015-01-01,7005246
Mario Schimanski,Langeoog,Mario Schimanski,7.4860135,53.7460094,,2013-09-04,2015-01-01,
Karen Saban,Heidelberg,Karen Saban,8.7,49.4167,,2013-09-05,2015-01-01,7005177
Dr. Daniela Müller,Spiekeroog,Dr. Daniela Müller,7.7167,53.7833,,2013-09-05,2015-01-01,1009246
Dr. Javier Navarro,Hamburg,Dr. Javier Navarro,10,53.5833,,2013-09-08,2015-01-01,7003673
Dr. Ofelia Huamanchumo de la Cuba,Spiekeroog,Dr. Ofelia Huamanchumo de la Cuba,7.7167,53.7833,,2013-09-12,2015-01-01,1009246
Dr. Markus Ebenhoch,Salzburg,Dr. Markus Ebenhoch,13.05,47.8,,2013-09-16,2015-01-01,7003256
Anna  Wörsdörfer,Gießen,Anna  Wörsdörfer,8.7,50.5833,,2013-09-17,2015-01-01,7004429
Prof. Dr. Martha Kleinhans,Würzburg,Prof. Dr. Martha Kleinhans,9.9333,49.8,,2013-09-18,2015-01-01,7004335
Prof. Dr. Eberhard Geisler,Mainz,Prof. Dr. Eberhard Geisler,8.2667,50,,2013-09-19,2015-01-01,7004449
Dr. Sandra Janßen,Berlin,Dr. Sandra Janßen,13.4167,52.5333,,2013-09-22,2015-01-01,7003712
Prof. Dr. Georg A.  Kaiser,Konstanz,Prof. Dr. Georg A.  Kaiser,9.1667,47.6667,,2013-09-24,2015-01-01,7005174
