"<a href=""http://www.romanistik.de/pers/1991"">Andreea Csibi</a>",Andreea Csibi,##NA##,Karl-Franzens-Universität Graz --  Merangasse 70 8010 Graz Österreich ,2012-01-05,
"<a href=""http://www.romanistik.de/pers/2700"">Angelika Groß</a>",Angelika Groß,##NA##,Universität Osnabrück --  Neuer Graben 40 49075 Osnabrück Deutschland ,2012-08-21,
"<a href=""http://www.romanistik.de/pers/3892"">Aniela Mikolajczyk</a>",Aniela Mikolajczyk,##NA##,##NA## -- ##NA##,2014-05-15,
"<a href=""http://www.romanistik.de/pers/1184"">Anita Maier</a>",Anita Maier,##NA##,##NA## -- ##NA##,2011-04-19,
"<a href=""http://www.romanistik.de/pers/2796"">Anja Rothenburg</a>",Anja Rothenburg,##NA##,##NA## -- ##NA##,2012-10-18,
"<a href=""http://www.romanistik.de/pers/3884"">Anke Schmidt</a>",Anke Schmidt,##NA##,##NA## -- ##NA##,2014-05-12,
"<a href=""http://www.romanistik.de/pers/3433"">Anna  Wörsdörfer</a>",Anna  Wörsdörfer,http://www.uni-giessen.de/cms/fbz/fb05/romanistik/institut/personal/profs/emeritus/rieger/DFG-Projekt,Justus-Liebig-Universität Gießen --  Karl-Glöckner-Straße  21 G 35394 Gießen Deutschland ,2013-09-17,
"<a href=""http://www.romanistik.de/pers/3890"">Anna Sennefelder</a>",Anna Sennefelder,##NA##,##NA## -- ##NA##,2014-05-14,
"<a href=""http://www.romanistik.de/pers/1150"">Anna Taton</a>",Anna Taton ,##NA## ,"Univ. Sorbonne, Paris / Humboldt-Universität zu Berlin --  Deutschland  ",2011-04-04,
"<a href=""http://www.romanistik.de/pers/780"">Anna-Christine Weirich</a>",Anna-Christine Weirich,http://www.romanistik.uni-frankfurt.de/mitarbeiter/Weirich/index.html,Goethe-Universität Frankfurt am Main --   Frankfurt Deutschland ,2010-12-16,
"<a href=""http://www.romanistik.de/pers/3760"">Anne Seitz</a>",Anne Seitz,http://centregeorgsimmel.ehess.fr/anne-seitz/,Ecole des hautes études en sciences sociales --  Frankreich ,2014-03-07,
"<a href=""http://www.romanistik.de/pers/112"">Anne Sommer</a>",Anne Sommer,##NA##,Ruprecht-Karls-Universität Heidelberg --  Deutschland ,2010-01-28,
"<a href=""http://www.romanistik.de/pers/4017"">Anne Wolfsgruber</a>",Anne Wolfsgruber,##NA##,Universität Salzburg --  Österreich ,2014-07-16,
"<a href=""http://www.romanistik.de/pers/3101"">Anne-Catherine Luther</a>",Anne-Catherine Luther,##NA##,RWTH Aachen --  Deutschland ,2013-04-07,
"<a href=""http://www.romanistik.de/pers/4043"">Anne-Kathrin Willeke</a>",Anne-Kathrin Willeke,##NA##,##NA## -- ##NA##,2014-08-02,
"<a href=""http://www.romanistik.de/pers/2325"">Annette Mayer</a>",Annette Mayer,##NA##,##NA## -- ##NA##,2012-05-18,
