Name,website,univ--address
Kristina  Beck,##NA##,##NA## -- ##NA##
Anaïs Boelicke,##NA##,##NA## -- ##NA##
Dr. Trinidad Marín Villora,##NA##,##NA## --   Breslau Polen 
Maria Zannini,##NA##,##NA## -- ##NA##
Dr. Claus D. Pusch,http://www.romanistik.uni-freiburg.de/pusch/,Albert-Ludwigs-Universität Freiburg --   Freiburg Deutschland 
Mario Willersinn,http://www.zam-promotionskolleg.uni-freiburg.de/personen/willersinn-mario,Albert-Ludwigs-Universität Freiburg --  Platz der Universität 3 79085  Freiburg Deutschland 
Prof. Dr. William Diaz,##NA##,##NA## -- ##NA##
Prof. Dr. Martina  Schrader-Kniffki,##NA##,Johannes-Gutenberg-Universität Mainz --  An der Hochschule 2 76726 Germersheim Deutschland 
Dr. Gruppuso Caterina,##NA##,##NA## -- ##NA##
Dr. Danielle  Dahan-Feucht,##NA##,Universität Konstanz --  Deutschland 
Prof. Dr. Antonella Benucci,##NA##,Università per Stranieri di Siena --  Italien 
Dr. Viktoria Adam,##NA##,Ruprecht-Karls-Universität Heidelberg --  Seminarstrasse 3 69117 Heidelberg Deutschland 
Kathrin Decker,##NA##,##NA## -- ##NA##
Reinhard Berron,http://www.germ.uni-tuebingen.de/abteilungen/mediaevistik/lehrstuhl-prof-dr-klaus-ridder/mitarbeitende/ma-reinhard-berron.html,Eberhard-Karls-Universität Tübingen --  Deutschland 
Dr. Laurentius Pop,##NA##,Ruprecht-Karls-Universität Heidelberg --  Deutschland 
Carmen Mata Castro,##NA##,##NA## -- ##NA##
Prof. Dr. Marcus Bär,http://www.marcus-baer.eu,Universität Hamburg --  Von-Melle-Park 8 20146 Hamburg Deutschland 
Prof. Dr. Thomas Bremer,##NA##,Universität Halle --  Deutschland 
Apl. Prof. Carlos Balle Blanes,##NA##,##NA## -- ##NA##
Karen Forner,##NA##,##NA## -- ##NA##
Prof. Dr. Johannes Angermüller,http://www.johannes-angermueller.de,Johannes-Gutenberg-Universität Mainz --  Deutschland 
Sabrina Braukmeier,##NA##,##NA## -- ##NA##
