Name,website,univ--address
Dr. Monica Biasiolo,##NA##,Friedrich-Alexander-Universität Erlangen-Nürnberg --  Bismarckstr.  1a 91054 Erlangen Deutschland 
Nicola Biskup-Breitenfeld,##NA##,##NA## -- ##NA##
Stefanie Bollmann,##NA##,Westfälische Wilhelms-Universität Münster --  Deutschland 
Amor Ayala,##NA##,##NA## --   Berlin Deutschland 
Louise Dietrich,##NA##,##NA## -- ##NA##
Isabelle Kross,##NA##,##NA## -- ##NA##
Carla Amado,##NA##,Universität des Saarlandes --  Deutschland 
Steffen Heidinger,##NA##,##NA## -- ##NA##
Dr. Elena Castroviejo,##NA##,##NA## -- ##NA##
Dr. Luca Melchior,http://www.uni-graz.at/luca.melchior/,Karl-Franzens-Universität Graz --  Merangasse 70/III 8010 Graz Österreich 
Prof. Dr. Annette Gerstenberg,##NA##,Freie Universität Berlin --  Habelschwerdter Allee 45 14195 Berlin Deutschland 
Katrin Berty,##NA##,##NA## -- ##NA##
Osvaldo Calle Quiñonez,##NA##,##NA## -- ##NA##
Dr. Maribel Cedeño Rojas,http://www.uni-siegen.de/phil/romanistik/mitarbeiter/cedeno_maribel/index.html?lang=de,Universität Siegen --  Adolf-Reichwein-Straße 2 57076 Siegen Deutschland 
Dr. Giulia Pelillo,http://www.uni-heidelberg.de/rose/personen/pelillo.html,Ruprecht-Karls-Universität Heidelberg --   Heidelberg Deutschland 
Raphaela Braun,http://www.uni-marburg.de/fb09/ndl/personal/braunr/index_html,Philipps-Universität Marburg --  Deutschland 
Fabian Lehmann,##NA##,##NA## -- ##NA##
Dr. José Carlos  Huisa Téllez,##NA##,Johannes Gutenberg-Universität Mainz --  Welder Weg 18 55099 Mainz Deutschland 
Annika  Mayer,##NA##,Universität Kassel --  Kurt-Wolters-Straße  5 34125 Kassel Deutschland 
Dr. Carolin Patzelt,http://www.ruhr-uni-bochum.de/romsem/seminar/personal.htm,Ruhr-Universität Bochum --  Deutschland 
Prof. Dr. Vittoria  Borsò,##NA##,Heinrich-Heine-Universität Düsseldorf --  Deutschland 
Cosima Stawenow,http://www.stawenow-textgrafik.de/,Ruprecht-Karls-Universität Heidelberg --  Seminarstraße 3 69117 Heidelberg Deutschland 
Prof. Dr. Meike Meliss,##NA##,##NA## -- ##NA##
Eva Maria Loos,http://www.uni-heidelberg.de/fakultaeten/neuphil/iask/sued/seminar/abteilungen/spanisch/profil_loos.html,Ruprecht-Karls-Universität Heidelberg --  Seminarstr.  3 69117 Heidelberg Deutschland 
Dr. Claire Block,##NA##,Universität Bremen --  Deutschland 
Prof. Dr. Anja  Bandau,www.lai.fu-berlin.de/homepages/bandau/index.html,Freie Universität Berlin --   Berlin Deutschland 
Rocío Agar Marco,http://hpsl-linguistics.org/laufende-promotionsprojekte&projekt=196,Universität Basel --  Maiengasse 51 4056 Basel Schweiz 
Claudia Sofie Schmitz,http://www.romanistik.uni-bonn.de/die-bonner-romanistik/lehrende/claudia-schmitz,Rheinische Friedrich-Wilhelms-Universität Bonn --  Am Hof 1 53113 Bonn Deutschland 
Frédéric Nicolosi,##NA##,Johannes-Gutenberg-Universität Mainz --  Deutschland 
Lea Akkermann,##NA##,##NA## -- ##NA##
Britta Quisbrok,##NA##,##NA## -- ##NA##
Jenny Augustin,##NA##,##NA## -- ##NA##
Meryem Icin,##NA##,##NA## -- ##NA##
Katharina Fürholzer,##NA##,##NA## -- ##NA##
Dr. Peter W.  Schulze,	http://www.fb10.uni-bremen.de/lehrpersonal/schulze.aspx,"	Universität Bremen / Romanistik --  Bibliothekstraße 1, Gebäude GW 2 Raum B 3410  28359 Bremen Deutschland "
Prof. Dr. Michael Bernsen,http://www.romanistik.uni-bonn.de/die-bonner-romanistik/lehrende/prof.-dr.-michael-bernsen-1,Rheinische Friedrich-Wilhelms-Universität Bonn --   Bonn Deutschland 
Frank Günther-Spohr,www.frank-guenther-spohr.net,Ruhr-Universität Bochum --  Universitätsstraße 150 44801 Bochum Deutschland 
Prof. Dr. Roswitha Böhm,http://tu-dresden.de/die_tu_dresden/fakultaeten/fakultaet_sprach_literatur_und_kulturwissenschaften/romanistik/professuren/boehm,Technische Universität Dresden --  Wiener Straße 48 01219 Dresden Deutschland 
Dr. Tanja Schwan,http://www.uni-leipzig.de/~tanjaschwan/,Universität Leipzig --  Beethovenstr.  15 04107 Leipzig Deutschland 
Kamila Meyer,##NA##,##NA## -- ##NA##
Dr. Sabine Narr,http://www.romanistik.uni-saarland.de/de/oster-stierle/lehrstuhl/narr-leute.html,Universität des Saarlandes --  Postfach 15 11 50  66041  Saarbrücken Deutschland 
valentina De Pascale,##NA##,##NA## -- ##NA##
Julia Anslik,http://www.romanistik.uni-kiel.de/rs_pers_la.htm,Christian-Albrechts-Universität zu Kiel --   Kiel Deutschland 
Dr. Maria Lacueva i Lorenz,##NA##,##NA## -- ##NA##
Daniel Dengler,www.ddengler.com,##NA## --   Regensburg Deutschland 
Dr. Irma Susana Carbajal Vaca,https://sites.google.com/site/susanamyrthe/,Universidad de Guadalajara --  Morelos 191 44100 Guadalajara Mexiko 
Sheila Cano,##NA##,##NA## -- ##NA##
Cristina Cabrera,##NA##,##NA## --  Deutschland 
Dr. Sophie  Bertho,##NA##,Albert-Ludwigs-Universität Freiburg --  Deutschland 
Ina Riesel,http://www.ruhr-uni-bochum.de/slf/org/team/hilfskraefte.html,Ruhr-Universität Bochum --  Deutschland 
Reto Zöllner,##NA##,Universität Zürich --  Zürichbergstrasse 8 8032 Zürich Schweiz 
Dr. habil. Yvette Bürki,##NA##,Universität Bern --  Schweiz 
Markus Breitbarth,##NA##,Universität Göttingen --  38106 Braunschweig Deutschland 
Sonja  Humbel-Pain,##NA##,##NA## -- ##NA##
Prof. Dr. Roger Friedlein,##NA##,Ruhr-Universität Bochum --  Deutschland 
Carlos Collado Seidel,##NA##,Philipps-Universität Marburg --  Wilhelm-Röpke-Str. 6c 35032 Marburg Deutschland 
Dr. Dominic Angeloch,##NA##,##NA## -- ##NA##
Dr. Sascha Diwersy,##NA##,Universität zu Köln --  Deutschland 
Lara Willenberg,##NA##,##NA## -- ##NA##
Carolina  Spiegel,##NA##,Ludwig-Maximilians-Universität München --  Deutschland 
Prof. Dr. Enrique Rodrigues-Moura,http://www.uni-bamberg.de/romlit3/,Otto-Friedrich-Universität Bamberg --  An der Universität 2 96045 Bamberg Deutschland 
Dr. Karl Philipp Ellerbrock,##NA##,##NA## -- ##NA##
Dr. Esther Gimeno Ugalde,http://romanistik.univie.ac.at/personal/universitaetsassistentinnen-vertragsassistentinnen/gimeno-ugalde-esther/,Universität Wien --   Wien Österreich 
Dr. Marina Ortrud M. Hertrampf,http://www.uni-regensburg.de/sprache-literatur-kultur/romanistik/literaturwissenschaft/mitarbeiter-mecke/ortrud-hertrampf/ http://www.phil.uni-passau.de/die-fakultaet/lehrstuehle-professuren/romanistik/landeskunde-frankreich/mitarbeiter/dr-marina-ortrud-h,Universität Regensburg und Universität Passau --  Universitätsstrasse 31 93040  Regensburg  Deutschland 
Prof. Dr. Matei Chihaia,##NA##,##NA## -- ##NA##
Thomas Pfister,##NA##,##NA## -- ##NA##
Christine Irmler,##NA##,##NA## -- ##NA##
Amine Bounaira,##NA##,##NA## -- ##NA##
Andreea Csibi,##NA##,Karl-Franzens-Universität Graz --  Merangasse 70 8010 Graz Österreich 
Ida Danciu,##NA##,Universität Hamburg --  Deutschland 
Prof. Dr. Jens Andermann,##NA##,##NA## -- ##NA##
PD Dr. Edi Zollinger,##NA##,##NA## -- ##NA##
Rebecca Aschenberg,http://iberoamericanalibros.com,Iberoamericana --  Deutschland 
Prof. Dr. Kirsten Dickhaut,http://www.uni-giessen.de/romanistik/frank/KirstenDickhaut.html,Universität Koblenz-Landau --  Deutschland 
Estella Llorente,##NA##,Ibero-Americana --  Deutschland 
Dr. Gerhard Schönberger,##NA##,##NA## -- ##NA##
Dr. Barbara Di Noi,##NA##,##NA## -- ##NA##
Isabel Azevedo,##NA##,Karl-Franzens-Universität --  Merangasse 70/ 3. Stock  8010 Graz Europäische Union 
PD Dr. Aurelia Merlan,http://www.romanistik.uni-muenchen.de/personen/wiss_ma/merlan/index.html,Ludwig-Maximilians-Universität München --   München Deutschland 
Cecile Croze,##NA##,Universität Duisburg- Essen --   Essen Deutschland 
Dr. Holger Wochele,http://www.romanistik.uni-jena.de/?p=9933,Friedrich-Schiller-Universität Jena --  Ernst-Abbe-Platz 8 07743 Jena Deutschland 
Prof. Dr. Hans-Jürgen Lüsebrink,##NA##,Universität des Saarlandes --  Deutschland 
Martin Bauch,##NA##,Technische Universität Chemnitz --  09107 Chemnitz Deutschland 
Dr. Robert Lukenda,##NA##,Johannes-Gutenberg-Universität Mainz --  Deutschland 
Prof. Dr. Rainer Schlösser,##NA##,Friedrich-Schiller-Universität Jena --  Deutschland 
Martina Mohr,##NA##,##NA## -- ##NA##
Academics.de www.academics.de,http://www.academics.de,##NA## --  Deutschland 
Dr. Aouicha Mohr,##NA##,##NA## -- ##NA##
Dr. Annette Clamor,##NA##,Universität Osnabrück --  Deutschland 
Dr. Elisa De Roberto,##NA##,Università Sapienza Roma --  Piazzale Aldo Moro 5  Roma Italien 
Dr. Ralph Winter,http://www.generationengeschichte.uni-goettingen.de/winter.php,Ecole Normale Supérieure --  rue d'Ulm 45 75005 Paris Frankreich 
Simone Baum,http://www.philhist.uni-augsburg.de/lehrstuehle/romanistik/literaturwissenschaft/mitarbeiterinnen/baum/,Universität Augsburg --  Universitätsstraße 10 86159 Augsburg Deutschland 
Concetta Di Biase,##NA##,##NA## -- ##NA##
Prof. Dr. Steven  Dworkin,	http://www.lsa.umich.edu/linguistics/people/faculty/ci.dworkinsteven_ci.detail,"	University of Michigan --  48109-1275 Ann Arbor, Michigan Vereinigte Staaten "
Prof. Dr. Christine Michler,http://www.uni-bamberg.de/romdidaktik/zur_person/,Otto-Friedrich-Universität Bamberg --  Deutschland 
Christian Beermann,##NA##,Universität Hamburg --   Hamburg Deutschland 
Gabi Guadamillas,##NA##,##NA## -- ##NA##
Claudia  Damian,##NA##,##NA## -- ##NA##
Dr. Patrick Eser,##NA##,Universität Kassel --  Deutschland 
Prof. Dr. Vahram Atayan,##NA##,##NA## -- ##NA##
Dorothea Kraus,http://www.ku-eichstaett.de/Fakultaeten/SLF/romanistik,Katholische Universität Eichstätt-Ingolstadt --  Universitätsallee 1 85072 Eichstätt Deutschland 
Prof. Dr. Isabella von Treskow,http://www.uni-regensburg.de/sprache-literatur-kultur/romanistik/literaturwissenschaft/von-treskow/index.html,Universität Regensburg --  93040 Regensburg Deutschland 
Miriam Wittum,##NA##,##NA## -- ##NA##
Felix Tacke,##NA##,##NA## -- ##NA##
Apl. Prof. Georgia Carvace,##NA##,##NA## -- ##NA##
Dr. Laia Arnaus Gil,laia.arnaus.net,Bergische Universität Wuppertal --  Gaußstraße 20 42119 Wuppertal Deutschland 
Roberto Cortés,##NA##,##NA## -- ##NA##
Astrid Wlach,##NA##,##NA## -- ##NA##
Prof. Dr. Rita  De Maeseneer,http://www.ua.ac.be/main.aspx?c=rita.demaeseneer,Universiteit Antwerpen --   Antwerpen Belgien 
Katrin Piene,##NA##,##NA## -- ##NA##
Prof. Dr. Gualtiero Boaglio,##NA##,Universität Wien --  Österreich 
Prof. Dr. Lidia  Becker,http://www.romanistik.phil.uni-hannover.de/lidia_becker.html,Leibniz Universität Hannover --  Deutschland 
Frank Savelsberg,http://www.uni-goettingen.de/de/savelsberg-frank/426839.html,Georg-August-Universität Göttingen --  Humboldtallee 19 37073 Göttingen Deutschland 
Denis Zh,##NA##,Universität Heidelberg --  Deutschland 
Monia Dal Checco,##NA##,##NA## -- ##NA##
Katharina Funke,##NA##,Universität Leipzig --  Deutschland 
Ana Maria Ferri,##NA##,##NA## --  Deutschland 
Dr. Grazyna Bosy,##NA##,Rheinische Friedrich-Wilhelms-Universität Bonn --  Deutschland 
Silke Neumann,##NA##,Ruhr-Universität Bochum --   Bochum Deutschland 
PD Dr. Ana Monica Fonseca,http://iscte.academia.edu/AnaMonicaFonseca,University Institute Lisbon --  Av. Forças Armadas  1649-026  Lisboa Portugal 
Dr. Laura  Campanale,##NA##,##NA## -- ##NA##
Josefa Díaz,www.didrom.uni-bremen.de/diaz_projekt.htm,##NA## --  Deutschland 
Nicholas Williams,http://www.nng.uni-saarland.de/mitarbeiter/williams.htm,Universität des Saarlandes --   Saarbrücken Deutschland 
Christian Schweizer,##NA##,Universität des Saarlandes --  Deutschland 
Dr. Cristina Bianchi,##NA##,##NA## -- ##NA##
Aniela Mikolajczyk,##NA##,##NA## -- ##NA##
Redaktion romanistik.de,##NA##,##NA## --  Deutschland 
Dr. Ebba Durstewitz,##NA##,Universität Hamburg --   Hamburg Deutschland 
Dr. Karin Peters,##NA##,##NA## -- ##NA##
Julia Wuttig,##NA##,##NA## -- ##NA##
Nadine Alexander,http://www.relue-online.de/neu/ueberuns/,ReLü Rezensionszeitschrift zur Literaturübersetzung --  Deutschland 
Dr. Simone Ventura,http://www.sllf.qmul.ac.uk/people/simone-ventura,Queen Mary University of London --  Mile End Road Arts One 209A E1 4NS London Vereinigtes Königreich 
PD Dr. Lydia  Bauer,##NA##,Universität Potsdam --  Deutschland 
Alexander Gropper,##NA##,Universität Passau --  Innstr.  25 94032 Passau Deutschland 
Dr. Volker Jaeckel ,www.letras.ufmg.br,"	Universidade Federal de Minas Gerais --  Av. Pres. Antônio Carlos 6627 31270-901 Belo Horizonte, MG Brasilien "
Prof. Dr. Teresa Pinheiro,http://www.tu-chemnitz.de/phil/europastudien/swandel/pinheiro.php,Technische Universität Chemnitz --  Thüringer Weg 9 09107 Chemnitz Deutschland 
Prof. Dr. Christoph Gabriel,http://www1.uni-hamburg.de/romanistik/personal/w_gabr.html,Universität Hamburg --  Von-Melle-Park 6 20146 Hamburg Deutschland 
Juan Pedro Rojas Pichardo,http://www.romanistik.uni-saarland.de/de/personen.html,Universität des Saarlandes --  Deutschland 
Prof. Dr. Isabelle Mordellet-Roggenbuck,##NA##,PH Freiburg --  Deutschland 
Johannes Kambylis,##NA##,Helmut Buske Verlag --  Richardstr. 47  22081 Hamburg Deutschland 
