id;datum;kategorie;bereich;sprachen;disziplinen;titel
rom2513;2013-02-06;kaWI;beAM;spÜG;dzLW dzMK;Neue Open Access-Zeitschrift: Advances in Literary Study
rom2503;2013-02-06;kaWI;beAM;spIT;dzLW dzSW dzMK dzWT;Narr Francke Attempto übernimmt die Zeitschrift Italienisch
rom2335;2013-02-06;kaST;beWS;spIT;dzSP;Lektorin / Lektor für Italienisch (50%)
rom2255;2013-02-06;kaST;beWS;spES;dzSW;Lehrkraft für besondere Aufgaben (Sprachwissenschaft Spanisch 50%)
rom0451;2013-02-07;kaST;bePR;spFR;dzLW;Associate Professor in Luxembourg literature
rom2022;2013-02-07;kaST;beWS;spFR;dzLW dzMK;Lecturer in French
rom0936;2013-02-07;kaWI;beAM;spFR;dzLW dzMK;CfP: La chanson française et les évolutions médiales
rom0276;2013-02-07;kaST;beWS;spFR spIT spPT spES;dzLW dzSW dzMK dzDK;8 Humboldt Post-Doc Fellowships (alle Fachrichtungen)
rom2066;2013-02-07;kaST;beNW;spES;dzSP;Lecturer in Spanish/EFL
rom2647;2013-02-07;kaST;beNW;spFR;dzSP;Poste de lecteur/lectrice de français langue étrangère
rom0069;2013-02-07;kaST;beWS;spFR spIT spPT spES;dzSW;12 Promotionsstellen: DFG-Graduiertenkollegs GRK 1808 Ambiguität  Produktion und Rezeption
rom3338;2013-02-07;kaST;bePR;spFR spIT spPT spES;dzSW;W1-Juniorprofessur: Syntax
rom1401;2013-02-08;kaST;beWS;spFR;dzMK dzSP;DeutschMobil in Frankreich: Zehn Lektoren für das Programmjahr 2013/14 gesucht
rom1301;2013-02-08;kaTA;beTP;spÜG;dzSW dzSP;Code-switching in the bilingual child: within and across the clause
rom1005;2013-02-10;kaTA;beTA;spÜG;dzSP dzDK;CfP: Mehrsprachigkeit als Chance - Fünfte internationale Tagung zu Herausforderungen und Potenziale von Mehrsprachigkeit in Schule Hochschule und weitere Bildungsinstitutionen.
rom0669;2013-02-11;kaTA;beTA;spÜG;dzLW dzSP;CfP: 2. Saarbrücker Fremdsprachentagung Sprachwissen und Sprachkönnen
rom3539;2013-02-11;kaST;beWS;spFR spIT spPT spES spWR;dzSW;Wiss. Mitarbeiterin / Wiss. Mitarbeiter Sprachwissenschaft (Postdoc 100%)
rom2394;2013-02-12;kaTA;beSV;spÜG;dzLW;Lyrik und Neue Medien - Fristverlängerung bis 28.2.2013
rom1739;2013-02-12;kaST;beSTI;spÜG;dzSW;Hermann Paul scholarships in linguistics 2013
rom1700;2013-02-13;kaTA;beTP;spÜG;dzLW dzMK;Geschichtstransformationen - Transformations of History
rom1440;2013-02-13;kaST;beNW;spFR spÜG;dzLW dzSW dzMK dzSP dzDK dzWT;Direktor/in für die Geschäftsstelle der Universität der Großregion
rom1949;2013-02-13;kaST;beNW;spFR spÜG;dzWT;Koordinator/in für die Geschäftsstelle Universität der Großregion
rom0630;2013-02-14;kaTA;beTA;spFR spES spÜG;dzLW;CfA: Interférences littéraires/Literaire interferenties 2013
rom2389;2013-02-14;kaTA;beTP;spPT;dzLW;Literatura brasileira contemporânea:  espaços traduções e intermediações culturais.
rom0601;2013-02-14;kaST;bePR;spFR;dzLW dzMK;Carnegie Chair in French
rom2054;2013-02-14;kaST;beWS;spPT;dzLW dzMK;Lecturer in Lusophone Studies
rom2942;2013-02-14;kaTA;beTA;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK;Sommerschule «Stimmen und Stille»
rom2285;2013-02-14;kaST;beWS;spÜG;dzLW dzSW dzMK;Leitung einer Max-Planck-Forschungsgruppe (W2-Position Befristung 5 Jahre)
rom1451;2013-02-15;kaST;beWS;spES;dzLW;Dissertationsstelle Spanische Literaturwissenschaft (50%)
rom3241;2013-02-15;kaTA;beTA;spPT spES;dzLW dzSW dzMK;Verlag Macht Weltliteratur. Lateinamerikanisch-deutsche Kulturtransfers zwischen internationalem Literaturbetrieb und Übersetzungspolitik
rom0186;2013-02-15;kaST;beWS;spFR spÜG;dzLW dzWT;3 Doktorandenstellen im internationalen Graduiertenkolleg Diversität
rom0284;2013-02-17;kaST;beWS;spFR spIT spPT spES spÜG;dzLW;8 Stellen für wissenschaftliche Mitarbeiterinnen/wissenschaftliche Mitarbeiter am Graduiertenkolleg 1787 „Literatur und Literaturvermittlung im Zeitalter der Digitalisierung
rom0989;2013-02-19;kaTA;beTA;spFR spIT spPT spES spÜG;dzLW;CfP: Literatur und Ökologie. Neue literatur- und kulturwissenschaftliche Perspektiven (Jahrestagung der DGAVL)
rom1305;2013-02-19;kaTA;beTP;spFR;dzLW dzMK;Colloque Éric Chevillard
rom1204;2013-02-20;kaTA;beTA;spFR spIT spPT spES spÜG;dzLW;CfP: The Short Story and Short Story Collection in the Modernist Period: Between Theory and Practice.
rom1754;2013-02-20;kaTA;beSV;spFR spIT spPT spES spÜG;dzSW;Hot Topics in Linguistics: Vorträge und Diskussionen zu kontroversen Fragen in der Linguistik
